param_fmriSession,param_counterbalanceVer,param_block_num,param_trial_num,param_cond_type_num,param_cond_type_string,param_normative_response,param_ques_type_string,param_image_num,param_image_filename,p1_block_fix,p1_block_fix_dur,p1_block_question_onset,p1_block_isi_blackscreen,p1_question_duration,p2_image_onset,p2_image_duration,p3_keypress_RT,p3_keypress_key,p3_keypress_onset,p4_short_question_onset,param_end_instruct_onset,total_param_experimentDuration,RAW_param_triggerOnset,param_start_biopac,RAW_p1_block_fix,RAW_p1_block_question_onset,RAW_p1_block_isi_blackscreen,RAW_p2_image_onset,RAW_p3_keypress_onset,RAW_p4_short_question_onset,RAW_param_end_instruct_onset,CHANGE
4,3,12,7,2,c2_WhyHand,1,competing?,13,H_003.jpg,0,0.0168793201446533,0,0,0.3,0,1.71731519699097,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249273.22153,1605249273.25488,1605249274.55537,1605249286.91003,0,1605249288.62735,0,1605249664.0366
4,3,12,8,2,c2_WhyHand,1,competing?,15,H_170.jpg,0,0.0168793201446533,0,0,0.3,0,1.71731543540955,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249273.22153,1605249273.25488,1605249274.55537,1605249288.94413,0,1605249290.66145,0,1605249664.0366
4,3,13,1,1,c1_WhyFace,1,self-doubt?,29,F_544.jpg,0,0.0124409198760986,0,0,1.61727905273438,0,1.71731567382812,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249290.99491,1605249291.01158,1605249292.62886,1605249292.77891,0,1605249294.49623,0,1605249664.0366
4,3,13,2,1,c1_WhyFace,2,self-doubt?,27,F_086.jpg,0,0.0124409198760986,0,0,0.3,0,1.71731519699097,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249290.99491,1605249291.01158,1605249292.62886,1605249294.81302,0,1605249296.53033,0,1605249664.0366
4,3,13,3,1,c1_WhyFace,1,self-doubt?,25,F_798.jpg,0,0.0124409198760986,0,0,0.3,0,1.71731424331665,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249290.99491,1605249291.01158,1605249292.62886,1605249296.84712,0,1605249298.56443,0,1605249664.0366
4,3,13,4,1,c1_WhyFace,1,self-doubt?,26,F_111.jpg,0,0.0124409198760986,0,0,0.3,0,1.71731472015381,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249290.99491,1605249291.01158,1605249292.62886,1605249298.88122,0,1605249300.59853,0,1605249664.0366
4,3,13,5,1,c1_WhyFace,2,self-doubt?,31,F_774.jpg,0,0.0124409198760986,0,0,0.3,0,1.71731495857239,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249290.99491,1605249291.01158,1605249292.62886,1605249300.91532,0,1605249302.63264,0,1605249664.0366
4,3,13,6,1,c1_WhyFace,1,self-doubt?,28,F_754.jpg,0,0.0124409198760986,0,0,0.3,0,1.71731472015381,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249290.99491,1605249291.01158,1605249292.62886,1605249302.94942,0,1605249304.66674,0,1605249664.0366
4,3,13,7,1,c1_WhyFace,2,self-doubt?,32,F_128.jpg,0,0.0124409198760986,0,0,0.3,0,1.71731376647949,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249290.99491,1605249291.01158,1605249292.62886,1605249304.98352,0,1605249306.70084,0,1605249664.0366
4,3,13,8,1,c1_WhyFace,1,self-doubt?,30,F_584.jpg,0,0.0124409198760986,0,0,0.3,0,1.3671817779541,1.34683609008789,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249290.99491,1605249291.01158,1605249292.62886,1605249307.01762,1605249308.38668,1605249308.38481,0,1605249664.0366
4,3,14,1,3,c3_HowFace,1,looking at camera?,64,F_128.jpg,0,1.12444615364075,0,0,2.10079336166382,0,1.7173159122467,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249308.4515,1605249309.58526,1605249311.68605,1605249311.83611,0,1605249313.55342,0,1605249664.0366
4,3,14,2,3,c3_HowFace,1,looking at camera?,60,F_618.jpg,0,1.12444615364075,0,0,0.3,0,0.750282764434814,0.729902029037476,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249308.4515,1605249309.58526,1605249311.68605,1605249313.87021,1605249314.62251,1605249314.62049,0,1605249664.0366
4,3,14,3,3,c3_HowFace,1,looking at camera?,62,F_598.jpg,0,1.12444615364075,0,0,0.3,0,0.56688117980957,0.55412483215332,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249308.4515,1605249309.58526,1605249311.68605,1605249314.93728,1605249315.50602,1605249315.50416,0,1605249664.0366
4,3,14,4,3,c3_HowFace,2,looking at camera?,63,F_743.jpg,0,1.12444615364075,0,0,0.3,0,0.766956567764282,0.761048793792725,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249308.4515,1605249309.58526,1605249311.68605,1605249315.82095,1605249316.60117,1605249316.5879,0,1605249664.0366
4,3,14,5,3,c3_HowFace,1,looking at camera?,61,F_774.jpg,0,1.12444615364075,0,0,0.3,0,0.566880702972412,0.560704946517944,2,0,0,0,0,1605249066.04311,1605249066.05755,1605249308.4515,1605249309.58526,1605249311.68605,1605249316.90469,1605249317.48522,1605249317.47157,0,1605249664.0366
4,3,14,6,3,c3_HowFace,2,looking at camera?,57,F_582.jpg,0,1.12444615364075,0,0,0.3,0,0.66691780090332,0.646700143814087,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249308.4515,1605249309.58526,1605249311.68605,1605249317.78836,1605249318.45713,1605249318.45527,0,1605249664.0366
4,3,14,7,3,c3_HowFace,2,looking at camera?,58,F_754.jpg,0,1.12444615364075,0,0,0.3,0,0.766957759857178,0.757584095001221,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249308.4515,1605249309.58526,1605249311.68605,1605249318.77206,1605249319.55154,1605249319.53902,0,1605249664.0366
